WhatsApp,YouTube,FB,Twitter,News,Research,Coursera/edX,Webinar,Email,High social media,Games,Pref (primary),Pref (second),Purchases /month,Prefer optimization,k
40,14,5,9,1,7,15,20,3,25,0,GHC 12 - 2.5GB,GHC 12 - 2.5GB,10,Yes,
40,2,1,2,1,2,1,2,0.5,3,0,GHC 3 --- 471.70 MB,,8,Maybe,
18,16,7,5,2,21,4,8,21,24,18,GHC 10 --- 971.82 MB,GHC 5 Mashup (MTN Pulse),5,Yes,
10,10,0,21,0,1,1,12,1,30,5,1Gb 5 cedis ,GHC 3 --- 471.70 MB,30,Yes,
21,10,0,21,6,10,4,10,12,18,1,GHC 3 --- 471.70 MB,GHC 10 Mashup (MTN Pulse),4,Yes,
11,1.5,1,5,0,1,0.5,1,1,1,0,GHC 3 --- 471.70 MB,GHC 10 Mashup (MTN Pulse),20,Yes,
49,70,0,10,5,5,3,2,5,5,0,GHC 3 --- 471.70 MB,GHC 3 --- 471.70 MB,8,Yes,
120,50,0,144,50,100,100,16,3,100,0,5cedis 1gig,GHC 3 --- 471.70 MB,30,Yes,
120,100,1,3,1,7,0.5,6,0.3,3,0,GHC 10 --- 971.82 MB,GHC 3 --- 471.70 MB,3,Yes,
35,14,3,8,0,12,7,4,3,4,1,GHC 10 --- 971.82 MB,GHC 3 --- 471.70 MB,12,Yes,
4,1,0,10,3,2,0.5,2,4,0,0,GHC 3 --- 471.70 MB,Midnight bundle ,8,Maybe,
10,7,0,2,1,2,1,1,1,8,4,GHC 3 --- 471.70 MB,GHC 3 --- 471.70 MB,40,Yes,
4,1,0,10,0,3,2,1,1,2,0,GHC 3 --- 471.70 MB,GHC 10 --- 971.82 MB,8,Yes,
30,24,2,30,7,15,7,8,7,15,0,5gh for 1GB (just for me),None,8,Yes,
20,20,0,20,1,5,2,1,2,20,15,GHC 3 --- 471.70 MB,Midnight bundle,40,Maybe,
10,2,0,0,0,10,0.1,2,10,0,0,GHC 3 --- 471.70 MB,Midnight bundle,3,Yes,
24,2,0,11,0,0.1,0.01,2,2,15,0,GHC 3 --- 471.70 MB,,8,Maybe,
4,6,1,4,1,3,3,1,4,2,2,GHC 3 --- 471.70 MB,Midnight bundle,10,Maybe,
6,29,0,48,0,3,0,14,0.5,12,0,GHC 5 - 1 GB,GHC 3 --- 471.70 MB,28,No,
3,10,0.2,2,0.1,0.2,0.2,1,0.2,4,0,GHC 3 --- 471.70 MB,Midnight bundle,5,Yes,